time,char1_food,char1_drink,char1_sleep,char1_stress,char2_food,char2_drink,char2_sleep,char2_stress
84.45,225.2773,76.16655,85.38661,20,227.9441,34.16568,85.38661,20
85.45,209.1661,80,82.60875,30,225.1662,31.38784,82.60875,20
86.48,239.8889,77.49992,79.77533,30,239.6667,28.55451,79.77533,20
87.48,238.2222,79.72221,76.99747,30,236.8888,25.77675,76.99747,20
88.48,235.3887,78.72218,74.16405,30,234.0554,22.94342,74.16405,20
89.49,232.6109,75.94432,71.38618,30,231.2775,77.77771,71.38618,20
90.49,229.833,77.44437,68.60832,30,215.1663,61.66652,68.60832,30
91.49,227.0552,79.49998,65.83046,30,212.3885,58.88865,65.83046,30
92.49,224.2773,79.38887,63.0526,30,209.6106,79.55554,63.0526,30
93.50,221.4439,76.55545,60.21918,30,206.7772,79.44443,60.21918,30
94.50,218.666,73.77759,158.9444,0,203.9993,78.88885,57.44131,30
95.51,215.8882,70.99973,156.1665,0,201.2215,78.4444,54.66345,30
96.51,213.1103,68.22186,159.7222,0,198.4436,79.72221,51.88559,30
97.51,210.3324,65.444,160,0,195.6657,79.38887,49.10773,30
98.53,207.499,62.61058,157.611,0,192.8323,76.55545,46.27431,30
99.53,204.7211,59.83272,154.8332,0,190.0544,78.49995,43.49644,30
100.54,201.9433,57.05486,158.9444,0,187.2766,78.61107,40.71858,30
101.55,199.1099,54.22144,159.5,0,239.3333,75.77765,37.88516,30
102.55,196.332,51.44357,156.7221,0,237.3888,72.99979,35.1073,30
103.57,193.4986,48.61015,159.7778,0,234.5554,70.16637,32.27388,30
104.57,190.7207,45.83229,158.3888,0,231.7775,67.3885,29.49611,30
105.60,187.8873,42.99887,159.2222,0,228.9441,79.44443,26.66278,30
106.60,185.1094,40.22101,158.1111,0,212.8329,63.33323,23.88502,40
107.60,182.276,37.38759,155.2776,0,209.9995,60.49981,21.05169,40
108.60,179.4982,34.60973,159.4444,0,207.2216,78.99997,18.27393,40
109.61,176.7203,31.83187,160,0,204.4438,79.6111,15.49616,40
110.65,173.8313,28.94299,159.8333,0,201.5548,78.94441,12.60728,40
111.67,170.9979,26.10967,157.4999,0,198.7214,76.11099,9.773958,40
112.67,168.22,23.3319,154.7221,0,195.9435,78.27773,6.996191,40
113.69,165.3866,20.49858,151.8886,0,239.8889,75.44431,4.162868,40
114.69,162.6087,17.72081,149.1108,0,237.611,72.66644,1.38509,40
115.71,159.7753,14.88749,146.2774,0,238.5555,78.55551,158.5555,0
116.73,156.9419,12.05417,143.4439,0,235.7221,75.72209,155.7221,0
117.73,154.164,9.276402,140.6661,9.999995,232.9442,72.94423,152.9442,0
118.75,151.3306,6.443079,137.8327,20.2,216.7775,56.77748,150.1108,10
119.76,148.5528,3.66531,135.0548,30.20004,213.9996,53.99961,147.3329,10
120.76,145.7193,0.8319755,132.2214,40.40008,211.1662,79.94444,144.4995,10
121.77,238.0555,78.0555,158.0555,0,208.3883,77.16658,141.7217,10
122.77,235.2776,75.27763,155.2776,0,205.6105,79.2222,138.9438,10
123.79,219.1109,79.94444,152.4442,10,202.7771,79.72221,136.1104,10
124.79,239.2778,77.27769,149.6664,10,199.9992,76.94435,133.3325,10
125.79,236.4999,78.66663,146.8885,10,197.2213,74.16649,130.5547,10
126.79,233.722,79.27776,144.1106,10,239.9444,71.38863,127.7768,10
127.79,230.9442,79.49998,141.3328,10,238.2222,68.61076,124.9989,10
128.84,228.0552,77.22214,138.4438,10,235.3332,65.72179,122.11,10
129.84,225.2218,74.38872,135.6104,10,232.4998,62.88837,119.2765,10
130.87,222.3884,79.55554,132.7769,10,229.6664,60.05495,116.4431,10
131.87,219.6105,76.77768,129.9991,10,226.8885,57.27708,113.6653,10
132.87,216.8326,73.99982,127.2212,10,224.1106,54.49922,110.8874,10
133.87,187.3881,44.55529,124.4434,30,221.3328,51.72136,108.1095,0
134.91,184.4991,79.94444,121.5544,30,218.4438,48.83238,105.2206,0
135.92,181.7213,79.88889,118.7765,30,215.6659,46.05452,102.4427,0
136.93,178.8878,79.77777,115.9431,30,212.8325,43.2211,99.60927,0
137.95,176.0544,80,113.1097,30,209.9991,40.38768,96.77585,0
138.95,173.2766,79.77777,110.3318,30,207.2212,37.60982,93.99799,0
139.95,170.4987,77.99994,107.554,30,204.4434,78.8333,91.22012,0
140.96,167.7208,75.22208,104.7761,30,201.6655,76.05544,88.44226,0
141.96,164.8874,79.83333,101.9427,30,198.8321,73.22202,85.60884,0
142.97,162.1096,77.38881,99.16481,30,182.7209,57.11082,82.83098,10
143.99,159.2761,74.55539,96.33139,30,179.8875,54.2774,79.99756,0
144.99,156.4983,71.77753,93.55353,30,177.1096,79.88889,77.2197,0
145.99,153.7204,79.55554,90.77567,30,239.8889,77.11102,74.44183,0
146.99,150.9426,76.77768,87.9978,30,239.2778,74.33316,71.66397,0
148.00,134.8314,60.66648,85.21994,40,236.4999,71.5553,68.88611,0
149.02,131.9979,79.16664,82.38652,40,233.6665,68.72188,66.05269,0
150.02,129.2201,78.8333,79.60866,40,239.4444,65.94402,63.27483,0
151.04,238.4444,75.99988,76.77524,40,236.611,63.1106,60.44141,0
152.04,235.6665,73.22202,73.99738,40,233.8331,60.33273,57.66354,0
153.04,239.3333,70.3886,71.16396,40,230.9997,57.49931,54.83012,0
154.05,236.5555,79.72221,68.38609,40,228.2219,54.72145,52.05226,0
155.06,233.7776,77.77771,65.60823,40,212.1107,38.61026,49.2744,10
156.07,230.9442,74.94429,62.77481,40,209.2773,75.77684,46.44098,10
157.08,228.1663,72.16643,59.99695,40,206.4994,79.55554,43.66312,10
158.08,225.3884,69.38857,57.21909,40,203.7215,78.8333,40.88525,10
159.10,222.555,79.94444,54.38567,40,200.8881,79.6111,38.05183,10
